POSITION,CLUB,POINTS,JOURNEE,GAGNES,NULS,PERDUS,BUTS_POUR,BUTS_CONTRE,DIFF
1,CLERMONT FOOT 63,3,1,1,0,0,2,0,+2
2,ANGERS SCO,3,1,1,0,0,2,0,+2
3,OLYMPIQUE DE MARSEILLE,3,1,1,0,0,3,2,+1
4,PARIS SAINT-GERMAIN,3,1,1,0,0,2,1,+1
5,LOSC LILLE,1,1,0,1,0,3,3,0
6,FC METZ,1,1,0,1,0,3,3,0
7,FC NANTES,1,1,0,1,0,1,1,0
8,STADE BRESTOIS 29,1,1,0,1,0,1,1,0
9,RC LENS,1,1,0,1,0,1,1,0
10,FC LORIENT,1,1,0,1,0,1,1,0
11,AS MONACO,1,1,0,1,0,1,1,0
12,STADE RENNAIS FC,1,1,0,1,0,1,1,0
13,OLYMPIQUE LYONNAIS,1,1,0,1,0,1,1,0
14,AS SAINT-ÉTIENNE,1,1,0,1,0,1,1,0
15,OGC NICE,1,1,0,1,0,0,0,0
16,STADE DE REIMS,1,1,0,1,0,0,0,0
17,MONTPELLIER HÉRAULT SC,0,1,0,0,1,2,3,-1
18,ESTAC TROYES,0,1,0,0,1,1,2,-1
19,FC GIRONDINS DE BORDEAUX,0,1,0,0,1,0,2,-2
20,RC STRASBOURG ALSACE,0,1,0,0,1,0,2,-2
1,ANGERS SCO,6,2,2,0,0,5,0,+5
2,CLERMONT FOOT 63,6,2,2,0,0,4,0,+4
3,PARIS SAINT-GERMAIN,6,2,2,0,0,6,3,+3
4,OGC NICE,4,2,1,1,0,4,0,+4
5,FC NANTES,4,2,1,1,0,3,1,+2
6,OLYMPIQUE DE MARSEILLE,4,2,1,1,0,5,4,+1
7,FC LORIENT,4,2,1,1,0,2,1,+1
8,AS SAINT-ÉTIENNE,2,2,0,2,0,3,3,0
9,RC LENS,2,2,0,2,0,3,3,0
10,STADE DE REIMS,2,2,0,2,0,3,3,0
11,STADE RENNAIS FC,2,2,0,2,0,2,2,0
12,STADE BRESTOIS 29,2,2,0,2,0,2,2,0
13,MONTPELLIER HÉRAULT SC,1,2,0,1,1,5,6,-1
14,AS MONACO,1,2,0,1,1,1,2,-1
15,FC METZ,1,2,0,1,1,3,5,-2
16,FC GIRONDINS DE BORDEAUX,1,2,0,1,1,2,4,-2
17,OLYMPIQUE LYONNAIS,1,2,0,1,1,1,4,-3
18,LOSC LILLE,1,2,0,1,1,3,7,-4
19,ESTAC TROYES,0,2,0,0,2,1,4,-3
20,RC STRASBOURG ALSACE,0,2,0,0,2,2,6,-4
1,PARIS SAINT-GERMAIN,9,3,3,0,0,10,5,+5
