CLUB;BUDGET;CLASSEMENT BUDGET;CLUB thesportsdb.com
ANGERS SCO;41;17;Angers
AS MONACO;215;4;Monaco
AS SAINT-ÉTIENNE;70;9;St Etienne
CLERMONT FOOT 63;20;20;Clermont Foot
ESTAC TROYES;30;19;Troyes
FC GIRONDINS DE BORDEAUX;112;6;Bordeaux
FC LORIENT;50;12;Lorient
FC METZ;50;12;Metz
FC NANTES;65;10;Nantes
LOSC LILLE;147;5;Lille
MONTPELLIER HÉRAULT SC;44;15;Montpellier
OGC NICE;90;8;Nice
OLYMPIQUE DE MARSEILLE;250;2;Marseille
OLYMPIQUE LYONNAIS;250;2;Lyon
PARIS SAINT-GERMAIN;620;1;Paris SG
RC LENS;43;16;Lens
RC STRASBOURG ALSACE;45;14;Strasbourg
STADE BRESTOIS 29;32;18;Brest
STADE DE REIMS;60;11;Stade de Reims
STADE RENNAIS FC;110;7;Rennes
