MATCH,shots_on_goal - EQUIPE DOM,shots_off - EQUIPE DOM,total_shots - EQUIPE DOM,blocked_shots - EQUIPE DOM,goalkeeper_saves - EQUIPE EXT,POSSESSION - EQUIPE DOM,CARTONS JAUNES - EQUIPE DOM,CARTONS ROUGES - EQUIPE DOM,fouls - EQUIPE DOM,pass - EQUIPE DOM
Bordeaux vs Clermont Foot,6,3,10,1,6,44,1,0,13,83
Lyon vs Brest,4,9,17,4,3,69,1,0,10,89
Metz vs Lille,5,3,12,4,2,38,1,1,9,73
Monaco vs Nantes,3,9,15,3,1,75,0,0,6,88
Montpellier vs Marseille,1,5,8,2,0,41,0,0,10,77
Nice vs Stade de Reims,2,6,12,4,2,61,1,0,10,86
Rennes vs Lens,2,3,10,5,1,60,0,0,10,89
St Etienne vs Lorient,3,11,20,6,2,61,2,0,10,85
Strasbourg vs Angers,1,4,7,2,1,57,2,0,18,81
Troyes vs Paris SG,7,4,15,4,6,43,1,0,3,86
Angers vs Lyon,6,6,13,1,4,43,1,0,10,82
Brest vs Rennes,5,4,10,1,4,40,2,0,7,76
Clermont Foot vs Troyes,8,7,18,3,6,64,1,0,6,93
Lens vs St Etienne,5,9,18,4,3,57,1,0,10,82
Lille vs Nice,2,7,11,2,2,62,3,0,9,85
Lorient vs Monaco,2,0,2,0,1,27,3,0,16,61
Marseille vs Bordeaux,2,5,10,3,0,68,2,1,6,92
Nantes vs Metz,7,1,11,3,4,35,2,0,18,69
Paris SG vs Strasbourg,6,3,11,2,2,65,1,0,6,92
Stade de Reims vs Montpellier,9,8,19,2,6,57,2,0,11,83
Bordeaux vs Angers,5,4,14,5,5,53,2,0,19,88
Brest vs Paris SG,3,5,11,3,1,26,1,0,8,81
Lyon vs Clermont Foot,9,10,21,2,6,55,2,0,10,87
Metz vs Stade de Reims,4,3,10,3,3,58,4,0,19,83
Monaco vs Lens,2,6,9,1,2,71,1,1,11,86
Montpellier vs Lorient,11,12,32,9,7,57,0,0,8,86
Nice vs Marseille,3,4,11,4,3,36,4,0,11,82
Rennes vs Nantes,5,3,14,6,4,62,2,0,14,84
St Etienne vs Lille,2,6,10,2,1,48,1,0,14,81
Strasbourg vs Troyes,4,6,14,4,3,60,3,0,16,84
Angers vs Rennes,4,6,16,6,2,53,1,0,14,91
Clermont Foot vs Metz,4,10,16,2,3,60,1,0,11,82
Lens vs Lorient,9,7,19,3,7,54,2,0,10,82
Lille vs Montpellier,4,9,15,2,2,45,3,0,15,76
Marseille vs St Etienne,5,8,19,6,2,64,1,0,11,90
Nantes vs Lyon,5,9,18,4,5,36,2,0,7,77
Nice vs Bordeaux,5,4,11,2,2,44,3,0,18,81
Stade de Reims vs Paris SG,0,1,1,0,0,39,0,0,2,80
Strasbourg vs Brest,5,2,11,4,3,49,1,0,12,78
Troyes vs Monaco,3,8,12,1,3,49,1,0,11,78
Bordeaux vs Lens,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
Brest vs Angers,6,4,12,2,5,48,2,0,19,84
Lorient vs Lille,7,4,14,3,5,44,2,0,13,84
Lyon vs Strasbourg,7,7,14,0,4,59,2,0,8,87
Metz vs Troyes,2,12,16,2,2,62,2,0,15,88
Monaco vs Marseille,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
Montpellier vs St Etienne,4,6,11,1,2,43,1,0,15,68
Nantes vs Nice,7,8,19,4,6,51,2,0,7,81
Paris SG vs Clermont Foot,7,3,13,3,3,52,0,0,13,89
Rennes vs Stade de Reims,1,7,9,1,1,64,1,0,18,84
Angers vs Nantes,5,4,10,1,4,66,2,0,10,86
Clermont Foot vs Brest,4,3,7,0,3,58,1,1,7,87
Lens vs Lille,4,6,13,3,3,47,2,0,12,77
Marseille vs Rennes,6,7,17,4,4,65,0,0,5,88
Nice vs Monaco,3,7,12,2,1,49,2,0,17,82
Paris SG vs Lyon,2,0,2,0,2,63,1,0,2,91
Stade de Reims vs Lorient,2,7,10,1,2,43,2,0,12,81
St Etienne vs Bordeaux,5,6,12,1,3,55,1,0,9,77
Strasbourg vs Metz,6,3,10,1,2,45,2,0,16,79
Troyes vs Montpellier,3,4,8,1,2,42,4,0,16,79
Angers vs Marseille,1,7,9,1,1,41,1,0,9,86
Lens vs Strasbourg,4,7,17,6,4,60,2,1,14,88
Lille vs Stade de Reims,4,2,7,1,2,53,2,0,16,79
Lorient vs Nice,1,2,8,5,0,36,2,1,12,73
Lyon vs Troyes,8,5,15,2,5,69,1,0,7,88
Metz vs Paris SG,2,3,6,1,1,26,6,1,12,70
Monaco vs St Etienne,6,6,14,2,3,66,1,0,16,84
Montpellier vs Bordeaux,6,8,15,1,4,55,0,0,10,84
Nantes vs Brest,6,4,14,4,3,42,1,0,8,73
Rennes vs Clermont Foot,10,6,21,5,4,56,1,0,14,86
Bordeaux vs Rennes,3,5,10,2,2,46,1,0,6,77
Brest vs Metz,2,5,11,4,1,66,3,0,16,83
Clermont Foot vs Monaco,4,5,12,3,3,54,2,0,9,84
Lyon vs Lorient,2,5,12,5,1,53,1,1,9,86
Marseille vs Lens,4,6,13,3,2,60,2,0,4,87
Paris SG vs Montpellier,5,7,16,4,4,54,0,0,11,89
Stade de Reims vs Nantes,5,2,9,2,2,45,1,0,14,76
St Etienne vs Nice,6,2,11,3,5,59,0,0,9,77
Strasbourg vs Lille,3,6,10,1,2,57,4,1,16,81
Troyes vs Angers,3,3,6,0,2,37,4,1,9,82
Angers vs Metz,5,4,18,9,2,58,1,0,16,87
Lens vs Stade de Reims,7,4,13,2,5,61,3,0,13,90
