MATCH,shots_on_goal - EQUIPE EXT,shots_off - EQUIPE EXT,total_shots - EQUIPE EXT,blocked_shots - EQUIPE EXT,goalkeeper_saves - EQUIPE DOM,POSSESSION - EQUIPE EXT,CARTONS JAUNES - EQUIPE EXT,CARTONS ROUGES - EQUIPE EXT,fouls - EQUIPE EXT,pass - EQUIPE EXT
Bordeaux vs Clermont Foot,10,4,19,5,8,56,0,0,9,86
Lyon vs Brest,8,4,13,1,6,31,1,0,12,76
Metz vs Lille,6,7,17,4,4,62,2,0,10,81
Monaco vs Nantes,1,3,5,1,0,25,0,0,14,61
Montpellier vs Marseille,7,8,21,6,4,59,1,0,5,88
Nice vs Stade de Reims,0,2,5,3,0,39,1,0,8,76
Rennes vs Lens,6,4,11,1,5,40,2,0,14,84
St Etienne vs Lorient,3,7,12,2,2,39,3,0,14,75
Strasbourg vs Angers,2,5,9,2,0,43,3,0,18,78
Troyes vs Paris SG,3,6,12,3,0,57,4,0,15,93
Angers vs Lyon,3,3,8,2,3,57,4,1,17,85
Brest vs Rennes,3,3,7,1,1,60,3,0,16,86
Clermont Foot vs Troyes,1,4,6,1,1,36,3,1,11,85
Lens vs St Etienne,7,4,12,1,4,43,5,0,16,72
Lille vs Nice,7,1,11,3,3,38,1,0,13,77
Lorient vs Monaco,3,4,10,3,3,73,2,0,16,83
Marseille vs Bordeaux,2,5,8,1,0,32,2,0,11,83
Nantes vs Metz,5,3,10,2,5,65,0,0,11,81
Paris SG vs Strasbourg,2,4,8,2,0,35,4,1,18,85
Stade de Reims vs Montpellier,5,4,15,6,2,43,1,0,12,77
Bordeaux vs Angers,3,3,6,0,2,47,0,0,5,86
Brest vs Paris SG,8,4,16,4,4,74,2,0,7,92
Lyon vs Clermont Foot,5,7,17,5,3,45,2,0,6,83
Metz vs Stade de Reims,3,6,12,3,2,42,2,0,14,72
Monaco vs Lens,2,2,4,0,0,29,1,1,13,72
Montpellier vs Lorient,4,1,5,0,4,43,6,2,13,81
Nice vs Marseille,3,3,9,3,3,64,2,0,7,89
Rennes vs Nantes,1,2,4,1,1,38,2,0,13,75
St Etienne vs Lille,6,1,8,1,5,52,3,0,10,77
Strasbourg vs Troyes,6,2,10,2,5,40,1,0,17,74
Angers vs Rennes,2,3,7,2,2,47,2,1,10,89
Clermont Foot vs Metz,4,6,12,2,3,40,2,0,15,74
Lens vs Lorient,7,5,15,3,5,46,4,0,10,78
Lille vs Montpellier,3,1,6,2,2,55,7,1,19,75
Marseille vs St Etienne,7,4,11,0,6,36,3,0,18,85
Nantes vs Lyon,5,5,12,2,4,64,2,1,11,83
Nice vs Bordeaux,4,5,13,4,4,56,2,0,11,86
Stade de Reims vs Paris SG,1,1,3,1,0,61,0,0,3,87
Strasbourg vs Brest,5,5,11,1,4,51,1,0,10,81
Troyes vs Monaco,4,3,7,0,2,51,2,0,11,76
Bordeaux vs Lens,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
Brest vs Angers,2,5,8,1,1,52,2,0,9,85
Lorient vs Lille,3,4,9,2,2,56,2,0,11,89
Lyon vs Strasbourg,4,6,12,2,3,41,1,0,11,82
Metz vs Troyes,5,4,10,1,4,38,1,0,14,76
Monaco vs Marseille,nc,nc,nc,nc,nc,nc,nc,nc,nc,nc
Montpellier vs St Etienne,2,9,14,3,2,57,4,0,17,80
Nantes vs Nice,3,2,9,4,1,49,3,0,13,82
Paris SG vs Clermont Foot,2,6,14,6,2,48,1,0,9,87
Rennes vs Stade de Reims,3,1,7,3,1,36,2,0,11,71
Angers vs Nantes,4,4,8,0,0,34,2,0,16,72
Clermont Foot vs Brest,1,1,5,3,0,42,1,0,19,84
Lens vs Lille,2,1,7,4,2,53,2,0,8,79
Marseille vs Rennes,2,9,13,2,2,35,2,0,17,77
Nice vs Monaco,3,1,8,4,1,51,3,0,12,82
Paris SG vs Lyon,2,1,5,2,2,37,0,0,5,86
Stade de Reims vs Lorient,3,1,6,2,3,57,3,0,14,85
St Etienne vs Bordeaux,3,6,13,4,1,45,4,0,11,71
Strasbourg vs Metz,5,5,15,5,5,55,3,0,6,84
Troyes vs Montpellier,2,1,6,3,1,58,4,1,11,84
Angers vs Marseille,1,2,6,3,1,59,3,0,7,89
Lens vs Strasbourg,1,4,6,1,0,40,3,0,7,83
Lille vs Stade de Reims,5,3,11,3,4,47,1,0,14,81
Lorient vs Nice,1,9,13,3,2,64,4,0,16,86
Lyon vs Troyes,7,4,12,1,5,31,3,0,9,78
Metz vs Paris SG,5,5,15,5,2,74,2,0,12,90
Monaco vs St Etienne,2,5,8,1,2,34,1,1,13,76
Montpellier vs Bordeaux,7,5,15,3,4,45,2,0,8,79
Nantes vs Brest,2,3,10,5,1,58,2,0,13,82
Rennes vs Clermont Foot,1,2,4,1,1,44,1,0,5,82
Bordeaux vs Rennes,8,8,18,2,7,54,4,0,20,79
Brest vs Metz,4,1,6,1,2,34,2,0,16,64
Clermont Foot vs Monaco,3,3,6,0,0,46,4,0,12,82
Lyon vs Lorient,5,5,12,2,4,47,2,0,10,85
Marseille vs Lens,5,4,13,4,1,40,1,0,14,85
Paris SG vs Montpellier,4,3,10,3,4,46,1,0,8,86
Stade de Reims vs Nantes,2,5,11,4,1,55,1,0,10,78
St Etienne vs Nice,9,4,14,1,6,41,2,0,13,70
Strasbourg vs Lille,7,6,16,3,5,43,4,0,12,77
Troyes vs Angers,6,5,17,6,5,63,2,0,8,91
Angers vs Metz,2,0,2,0,0,42,3,0,11,82
Lens vs Stade de Reims,0,3,3,0,0,39,1,1,13,81
Lille vs Marseille,3,5,10,2,3,64,3,1,13,89
Lorient vs Clermont Foot,4,2,8,2,3,54,1,0,12,82
Monaco vs Bordeaux,1,0,4,3,0,43,1,0,13,81
Montpellier vs Strasbourg,3,2,6,1,2,46,0,0,14,80
Nantes vs Troyes,4,6,15,5,4,46,2,0,10,84
Nice vs Brest,0,1,2,1,0,26,0,0,7,69
Rennes vs Paris SG,0,10,13,3,0,68,3,0,4,88
St Etienne vs Lyon,5,3,15,7,4,56,3,1,10,82
Bordeaux vs Nantes,7,6,13,0,6,40,3,0,16,69
Brest vs Stade de Reims,2,5,13,6,1,45,4,0,13,72
Clermont Foot vs Lille,2,4,9,3,2,57,3,0,8,82
Lyon vs Monaco,3,2,9,4,3,38,2,0,10,79
Marseille vs Lorient,7,7,15,1,6,36,1,0,10,79
Metz vs Rennes,8,8,21,5,6,65,1,0,9,90
Montpellier vs Lens,5,10,18,3,5,50,4,0,16,78
Paris SG vs Angers,2,2,7,3,1,27,1,0,10,80
Strasbourg vs St Etienne,2,2,4,0,1,48,2,1,10,86
Troyes vs Nice,3,6,11,2,3,62,1,0,20,87
Lens vs Metz,4,3,9,2,3,44,3,0,13,81
Lille vs Brest,5,7,14,2,4,37,2,0,15,71
Lorient vs Bordeaux,5,3,11,3,4,46,2,1,13,80
Marseille vs Paris SG,4,3,10,3,4,51,2,1,8,89
Monaco vs Montpellier,4,2,13,7,3,35,4,0,16,76
Nantes vs Clermont Foot,1,3,4,0,0,54,0,1,11,85
Nice vs Lyon,8,3,13,2,6,58,0,1,7,86
Stade de Reims vs Troyes,4,1,7,2,2,45,2,0,13,77
Rennes vs Strasbourg,2,5,8,1,2,36,2,0,11,78
St Etienne vs Angers,2,1,4,1,0,36,3,0,18,71
Angers vs Nice,5,5,14,4,3,63,2,0,9,86
Bordeaux vs Stade de Reims,8,4,12,0,6,48,2,0,10,79
Brest vs Monaco,2,3,5,0,2,67,4,0,17,85
Clermont Foot vs Marseille,4,3,9,2,3,59,4,0,11,87
Lyon vs Lens,10,4,18,4,7,45,2,0,13,84
Metz vs St Etienne,3,7,11,1,2,63,3,0,11,83
